Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,7200.17431640625,,,,,7254.33056640625,,,,,7174.9443359375,,,,,7194.89208984375,,,,,18565664997.0,,,
2020-01-02,94.90049743652344,6985.47021484375,1524.5,67.8730239868164,152.15838623046875,94.90049743652344,7212.1552734375,1528.699951171875,67.8730239868164,152.2625919076215,93.2074966430664,6935.27001953125,1518.0,66.77262179859589,149.9890318942147,93.75,7202.55126953125,1518.0999755859375,66.86783552352698,150.4153225898607,80580000.0,20802083465.0,214.0,27278000.0,22622100.0
2020-01-03,93.74849700927734,7344.88427734375,1549.199951171875,67.51795959472656,150.2637481689453,94.30999755859375,7413.71533203125,1552.699951171875,68.12445054033702,151.5236842826628,93.2249984741211,6914.99609375,1530.0999755859375,66.81378055903824,149.7332517957889,93.2249984741211,6984.4287109375,1530.0999755859375,66.84750602902096,149.9795640082844,75288000.0,28111481032.0,107.0,23408000.0,21116200.0
2020-01-04,,7410.65673828125,,,,,7427.3857421875,,,,,7309.51416015625,,,,,7345.37548828125,,,,,18444271275.0,,,
2020-01-05,,7411.3173828125,,,,,7544.4970703125,,,,,7400.53564453125,,,,,7410.45166015625,,,,,19725074095.0,,,
2020-01-06,95.14399719238281,7769.21923828125,1566.199951171875,69.31759643554688,150.6521759033203,95.18450164794922,7781.8671875,1580.0,69.34288486446046,150.7184951877552,93.0,7409.29296875,1560.4000244140625,66.9962821053439,148.26492739771743,93.0,7410.4521484375,1580.0,67.02751808217074,148.80490629687822,81236000.0,23276261598.0,416.0,46768000.0,20813700.0
2020-01-07,95.34300231933594,8163.6923828125,1571.800048828125,69.1836929321289,149.27853393554688,95.69450378417969,8178.2158203125,1576.300048828125,69.59975639798446,151.2584272318134,94.60199737548828,7768.2275390625,1558.300048828125,69.00765007438353,149.03223619242732,95.2249984741211,7768.68212890625,1558.300048828125,69.44900196622598,150.92687424549183,80898000.0,28767291327.0,47.0,34330000.0,21634100.0
2020-01-08,94.59850311279297,8079.86279296875,1557.4000244140625,69.6761245727539,151.65625,95.55000305175781,8396.73828125,1604.199951171875,70.01383328257931,152.3288526495288,94.3219985961914,7956.7744140625,1552.300048828125,69.06071230813146,149.6289885229532,94.9020004272461,8161.935546875,1579.699951171875,69.16931180182212,150.55735681862677,70160000.0,31672559265.0,236.0,35314000.0,27746500.0
